Name,Right Ascension,Declination,Apparent Magnitude,Constellation
HD 39110,05h 47m 13.33s,-54° 21′ 38.6″,6.19,Pictor
AK Pictoris,06h 38m 00.42s,-61° 32′ 00.8″,6.18,Pictor
HD 33116,05h 05m 00.61s,-54° 24′ 26.7″,6.26,Pictor
Theta Pictoris,05h 24m 46.29s,-52° 18′ 58.2″,6.26,Pictor
HD 45796,06h 24m 55.81s,-63° 49′ 41.4″,6.26,Pictor
HD 45461,06h 23m 01.48s,-63° 40′ 59.4″,6.3,Pictor
HD 39547,05h 50m 28.83s,-52° 46′ 04.5″,6.32,Pictor
R Pictoris,04h 46m 09.55s,-49° 14′ 45.1″,6.35,Pictor
HD 38458,05h 43m 41.12s,-45° 49′ 59.2″,6.38,Pictor
HD 39312,05h 49m 34.13s,-44° 52′ 31.5″,6.38,Pictor
Iota Pictoris,04h 50m 56.58s,-53° 27′ 35.7″,6.42,Pictor
HD 37226,05h 33m 44.30s,-54° 54′ 08.3″,6.42,Pictor
HD 37781,05h 38m 17.42s,-50° 38′ 27.7″,6.43,Pictor
HD 44120,06h 16m 18.84s,-59° 12′ 45.8″,6.44,Pictor
SW Pictoris,06h 02m 09.32s,-60° 05′ 48.7″,6.45,Pictor
HD 29805,04h 39m 04.29s,-51° 40′ 22.1″,6.45,Pictor
HD 45701,06h 24m 26.57s,-63° 25′ 43.1″,6.45,Pictor
HD 45450,06h 23m 46.92s,-58° 32′ 38.2″,6.47,Pictor
HD 34587,05h 15m 38.80s,-52° 10′ 56.0″,6.48,Pictor
HD 40665,05h 57m 14.36s,-53° 25′ 32.5″,6.48,Pictor
S Pictoris,05h 10m 57.25s,-48° 30′ 25.45″,6.5,Pictor
HD 33331,05h 07m 25.93s,-44° 49′ 18.0″,6.93,Pictor
HD 40307,05h 54m 04.24s,-60° 01′ 24.4″,7.17,Pictor
TV Pictoris,04h 48m 57.47s,-47° 08′ 04.3″,7.44,Pictor
HD 41004,05h 59m 49.65s,-48° 14′ 22.9″,8.65,Pictor
HD 41248,06h 00m 33.0s,-56° 09′ 43″,8.82,Pictor
Kapteyn's Star,05h 11m 40.58s,-45° 01′ 26.3″,8.89,Pictor
AB Pictoris,06h 19m 12.91s,-58° 03′ 15.5″,9.21,Pictor
RR Pictoris,06h 35m 36.06s,-62° 38′ 24.3″,12.5,Pictor
Eta Piscium,01h 31m 28.99s,+15° 20′ 45.0″,3.62,Pisces
Gamma Piscium,23h 17m 09.49s,+03° 16′ 56.1″,3.7,Pisces
Omega Piscium,23h 59m 18.60s,+06° 51′ 48.9″,4.03,Pisces
Iota Piscium,23h 39m 56.82s,+05° 37′ 38.5″,4.13,Pisces
Omicron Piscium,01h 45m 23.59s,+09° 09′ 27.5″,4.26,Pisces
Epsilon Piscium,01h 02m 56.66s,+07° 53′ 24.3″,4.27,Pisces
Theta Piscium,23h 27m 58.17s,+06° 22′ 44.8″,4.27,Pisces
Alpha Piscium,02h 02m 02.80s,+02° 45′ 49.5″,4.33,Pisces
30 Piscium,00h 01m 57.59s,-06° 00′ 50.3″,4.37,Pisces
Delta Piscium,00h 48m 40.90s,+07° 35′ 06.7″,4.44,Pisces
Nu Piscium,01h 41m 25.91s,+05° 29′ 15.4″,4.45,Pisces
Beta Piscium,23h 03m 52.61s,+03° 49′ 12.3″,4.48,Pisces
Lambda Piscium,23h 42m 02.88s,+01° 46′ 49.5″,4.49,Pisces
Tau Piscium,01h 11m 39.59s,+30° 05′ 23.0″,4.51,Pisces
33 Piscium,00h 05m 20.15s,-05° 42′ 28.2″,4.61,Pisces
Xi Piscium,01h 53m 33.34s,+03° 11′ 14.9″,4.61,Pisces
Chi Piscium,01h 11m 27.19s,+21° 02′ 04.8″,4.66,Pisces
Phi Piscium,01h 13m 44.94s,+24° 35′ 01.6″,4.67,Pisces
Upsilon Piscium,01h 19m 27.98s,+27° 15′ 50.7″,4.74,Pisces
Mu Piscium,01h 30m 10.94s,+06° 08′ 38.2″,4.84,Pisces
27 Piscium,23h 58m 40.41s,-03° 33′ 20.9″,4.88,Pisces
Kappa Piscium,23h 26m 55.91s,+01° 15′ 21.0″,4.95,Pisces
19 Piscium,23h 46m 23.54s,+03° 29′ 12.7″,4.95,Pisces
47 Piscium,00h 28m 02.84s,+17° 53′ 35.1″,5.01,Pisces
7 Piscium,23h 20m 20.54s,+05° 22′ 53.2″,5.05,Pisces
64 Piscium,00h 48m 58.71s,+16° 56′ 28.1″,5.07,Pisces
29 Piscium,00h 01m 49.44s,-03° 01′ 38.9″,5.13,Pisces
89 Piscium,01h 17m 47.98s,+03° 36′ 52.3″,5.13,Pisces
82 Piscium,01h 11m 06.77s,+31° 25′ 29.2″,5.15,Pisces
Zeta Piscium,01h 13m 43.80s,+07° 34′ 31.8″,5.21,Pisces
Alpha Piscium,02h 02m 02.80s,+02° 45′ 49.0″,5.23,Pisces
91 Piscium,01h 21m 07.35s,+28° 44′ 18.2″,5.23,Pisces
107 Piscium,01h 42m 29.95s,+20° 16′ 12.5″,5.24,Pisces
Psi¹ Piscium,01h 05m 40.93s,+21° 28′ 23.6″,5.33,Pisces
Rho Piscium,01h 26m 15.28s,+19° 10′ 20.4″,5.35,Pisces
55 Piscium,00h 39m 55.55s,+21° 26′ 18.8″,5.36,Pisces
57 Piscium,00h 46m 32.98s,+15° 28′ 32.2″,5.36,Pisces
41 Piscium,00h 20m 35.86s,+08° 11′ 24.9″,5.38,Pisces
52 Piscium,00h 32m 35.40s,+20° 17′ 40.0″,5.38,Pisces
5 Piscium,23h 08m 40.84s,+02° 07′ 39.4″,5.42,Pisces
2 Piscium,22h 59m 27.40s,+00° 57′ 47.1″,5.43,Pisces
68 Piscium,00h 57m 50.15s,+28° 59′ 32.0″,5.44,Pisces
20 Piscium,23h 47m 56.49s,-02° 45′ 41.8″,5.49,Pisces
Sigma Piscium,01h 02m 49.09s,+31° 48′ 15.6″,5.5,Pisces
94 Piscium,01h 26m 41.65s,+19° 14′ 26.0″,5.5,Pisces
58 Piscium,00h 47m 01.43s,+11° 58′ 26.2″,5.51,Pisces
80 Piscium,01h 08m 22.34s,+05° 39′ 00.8″,5.51,Pisces
34 Piscium,00h 10m 02.18s,+11° 08′ 44.9″,5.54,Pisces
Pi Piscium,01h 37m 05.96s,+12° 08′ 29.4″,5.54,Pisces
Psi¹ Piscium,01h 05m 41.68s,+21° 27′ 55.7″,5.55,Pisces
Psi² Piscium,01h 07m 57.11s,+20° 44′ 21.6″,5.56,Pisces
Psi³ Piscium,01h 09m 49.20s,+19° 39′ 30.2″,5.57,Pisces
22 Piscium,23h 51m 57.83s,+02° 55′ 49.5″,5.59,Pisces
72 Piscium,01h 05m 05.35s,+14° 56′ 45.6″,5.64,Pisces
16 Piscium,23h 36m 23.35s,+02° 06′ 07.5″,5.68,Pisces
51 Piscium,00h 32m 23.75s,+06° 57′ 19.6″,5.69,Pisces
32 Piscium,00h 02m 29.76s,+08° 29′ 08.1″,5.7,Pisces
HD 4628,00h 48m 22.53s,+05° 17′ 00.2″,5.74,Pisces
44 Piscium,00h 25m 24.22s,+01° 56′ 23.0″,5.77,Pisces
21 Piscium,23h 49m 27.48s,+01° 04′ 34.3″,5.77,Pisces
XZ Piscium,23h 54m 46.65s,+00° 06′ 33.6″,5.78,Pisces
66 Piscium,00h 54m 35.22s,+19° 11′ 18.4″,5.8,Pisces
54 Piscium,00h 39m 21.0s,+21° 15′ 01″,5.8,Pisces
53 Piscium,00h 36m 47.31s,+15° 13′ 54.3″,5.89,Pisces
112 Piscium,02h 00m 09.02s,+03° 05′ 51.5″,5.89,Pisces
14 Piscium,23h 34m 08.95s,-01° 14′ 51.1″,5.91,Pisces
62 Piscium,00h 48m 17.34s,+07° 17′ 59.7″,5.92,Pisces
24 Piscium,23h 52m 55.52s,-03° 09′ 19.4″,5.93,Pisces
87 Piscium,01h 14m 07.65s,+16° 08′ 00.8″,5.97,Pisces
60 Piscium,00h 47m 23.62s,+06° 44′ 27.5″,5.98,Pisces
105 Piscium,01h 39m 40.77s,+16° 24′ 21.2″,5.98,Pisces
97 Piscium,01h 29m 52.83s,+18° 21′ 20.4″,6.01,Pisces
35 Piscium,00h 14m 58.78s,+08° 49′ 15.7″,6.02,Pisces
73 Piscium,01h 04m 52.62s,+05° 39′ 22.7″,6.03,Pisces
88 Piscium,01h 14m 42.40s,+06° 59′ 42.7″,6.04,Pisces
48 Piscium,00h 28m 12.69s,+16° 26′ 42.4″,6.05,Pisces
67 Piscium,00h 55m 58.52s,+27° 12′ 33.7″,6.08,Pisces
59 Piscium,00h 47m 13.56s,+19° 34′ 43.3″,6.11,Pisces
1 Piscium,22h 54m 59.47s,+01° 03′ 53.6″,6.11,Pisces
36 Piscium,00h 16m 34.06s,+08° 14′ 24.7″,6.12,Pisces
WW Piscium,00h 59m 49.67s,+06° 28′ 59.7″,6.14,Pisces
75 Piscium,01h 06m 33.62s,+12° 57′ 21.5″,6.14,Pisces
HD 217107,22h 58m 15.54s,-02° 23′ 43.2″,6.17,Pisces
5 Ceti,00h 08m 12.09s,-02° 26′ 51.7″,6.18,Pisces
3 Piscium,23h 00m 37.88s,+00° 11′ 09.0″,6.22,Pisces
26 Piscium,23h 55m 07.78s,+07° 04′ 15.7″,6.22,Pisces
78 Piscium,01h 08m 01.20s,+32° 00′ 43.9″,6.23,Pisces
101 Piscium,01h 35m 46.44s,+14° 39′ 41.2″,6.23,Pisces
42 Piscium,00h 22m 25.45s,+13° 28′ 56.8″,6.25,Pisces
9 Piscium,23h 27m 14.77s,+01° 07′ 21.7″,6.26,Pisces
109 Piscium,01h 44m 55.85s,+20° 05′ 00.3″,6.27,Pisces
WZ Piscium,02h 06m 12.27s,+08° 14′ 53.3″,6.27,Pisces
76 Piscium,01h 06m 11.20s,+32° 10′ 53.6″,6.28,Pisces
25 Piscium,23h 53m 04.75s,+02° 05′ 26.3″,6.29,Pisces
HD 6,00h 05m 03.80s,-00° 30′ 10.5″,6.32,Pisces
31 Piscium,00h 02m 24.17s,+08° 57′ 24.6″,6.33,Pisces
DT Piscium,01h 14m 04.87s,+28° 31′ 46.9″,6.33,Pisces
77 Piscium,01h 05m 49.22s,+04° 54′ 31.2″,6.35,Pisces
CY Piscium,01h 36m 43.52s,+07° 49′ 53.4″,6.39,Pisces
13 Piscium,23h 31m 57.56s,-01° 05′ 09.3″,6.39,Pisces
46 Piscium,00h 27m 58.48s,+19° 30′ 50.7″,6.4,Pisces
4 Ceti,00h 07m 44.10s,-02° 32′ 55.3″,6.43,Pisces
Zeta Piscium,01h 13m 45.17s,+07° 34′ 42.2″,6.44,Pisces
15 Piscium,23h 35m 28.61s,+01° 18′ 47.5″,6.47,Pisces
43 Piscium,00h 24m 38.15s,+14° 18′ 55.9″,6.48,Pisces
61 Piscium,00h 47m 54.73s,+20° 55′ 31.1″,6.51,Pisces
HR 515,01h 46m 35.27s,+17° 24′ 45.7″,6.55,Pisces
40 Piscium,00h 19m 56.28s,+16° 15′ 03.2″,6.6,Pisces
38 Piscium,00h 17m 24.50s,+08° 52′ 34.8″,6.66,Pisces
104 Piscium,01h 39m 15.39s,+14° 17′ 08.3″,6.74,Pisces
45 Piscium,00h 25m 41.89s,+07° 41′ 28.4″,6.77,Pisces
65 Piscium,00h 49m 53.11s,+27° 42′ 37.1″,7.0,Pisces
95 Piscium,01h 27m 39.81s,+05° 21′ 11.2″,7.01,Pisces
65 Piscium,00h 49m 53.20s,+27° 42′ 37.0″,7.1,Pisces
HD 8574,01h 25m 12.52s,+28° 34′ 00.1″,7.11,Pisces
77 Piscium,01h 05m 51.42s,+04° 54′ 35.0″,7.26,Pisces
100 Piscium,01h 34m 51.61s,+12° 33′ 31.2″,7.28,Pisces
HD 217786,23h 03m 08s,-00° 25′ 47″,7.8,Pisces
HD 4313,00h 45m 40.36s,+07° 50′ 42.1″,7.82,Pisces
HD 12484,02h 02m 27.0s,+02° 48′ 57″,8.17,Pisces
HD 5891,01h 00m 33s,+20° 17′ 33″,8.25,Pisces
HD 1502,00h 19m 17s,+14° 03′ 17″,8.52,Pisces
HD 218566,23h 09m 11s,-02° 15′ 39″,8.63,Pisces
HD 4203,00h 44m 41.20s,+20° 26′ 56.1″,8.68,Pisces
HD 3167,00h 34m 57.5s,+04° 22′ 53″,8.94,Pisces
HD 224690,00h 00m 01.0s,-19° 29′ 55.8″,9.23,Pisces
WASP-76,01h 46m 32.0s,+02° 42′ 02″,9.5,Pisces
WASP-118,01h 18m 12.0s,+02° 42′ 10″,11.02,Pisces
WASP-32,00h 15m 51s,+01° 12′ 02″,11.3,Pisces
WASP-28,23h 34m 27.88s,-01° 34′ 48.1″,12.0,Pisces
Van Maanen's star,00h 49m 09.90s,+05° 23′ 19.0″,12.36,Pisces
Fomalhaut,22h 57m 38.83s,-29° 37′ 18.6″,1.17,Piscis Austrinus
Epsilon Piscis Austrini,22h 40m 39.33s,-27° 02′ 37.0″,4.18,Piscis Austrinus
Delta Piscis Austrini,22h 55m 56.89s,-32° 32′ 22.9″,4.2,Piscis Austrinus
Beta Piscis Austrini,22h 31m 30.29s,-32° 20′ 45.7″,4.29,Piscis Austrinus
Iota Piscis Austrini,21h 44m 56.79s,-33° 01′ 32.0″,4.35,Piscis Austrinus
Gamma Piscis Austrini,22h 52m 31.56s,-32° 52′ 31.6″,4.46,Piscis Austrinus
Mu Piscis Austrini,22h 08m 22.95s,-32° 59′ 18.2″,4.5,Piscis Austrinus
Tau Piscis Austrini,22h 10m 08.48s,-32° 32′ 54.4″,4.94,Piscis Austrinus
Upsilon Piscis Austrini,22h 08m 25.93s,-34° 02′ 37.4″,4.99,Piscis Austrinus
Theta Piscis Austrini,21h 47m 44.17s,-30° 53′ 53.9″,5.02,Piscis Austrinus
Pi Piscis Austrini,23h 03m 29.76s,-34° 44′ 58.6″,5.12,Piscis Austrinus
HD 210271,22h 09m 55.71s,-34° 00′ 54.1″,5.37,Piscis Austrinus
Eta Piscis Austrini,22h 00m 50.22s,-28° 27′ 13.5″,5.43,Piscis Austrinus
Lambda Piscis Austrini,22h 14m 18.74s,-27° 46′ 00.9″,5.45,Piscis Austrinus
WX Piscis Austrini,22h 59m 35.76s,-29° 27′ 44.4″,5.51,Piscis Austrinus
HD 217484,23h 01m 19.35s,-28° 51′ 14.1″,5.55,Piscis Austrinus
HD 210848,22h 13m 44.39s,-25° 10′ 51.3″,5.58,Piscis Austrinus
VZ Piscis Austrini,22h 38m 51.46s,-33° 04′ 53.0″,5.66,Piscis Austrinus
HD 217303,23h 00m 05.77s,-25° 09′ 50.4″,5.66,Piscis Austrinus
8 Piscis Austrini,21h 36m 10.90s,-26° 10′ 17.2″,5.73,Piscis Austrinus
HD 214122,22h 36m 35.47s,-31° 39′ 49.3″,5.82,Piscis Austrinus
HD 214690,22h 40m 22.38s,-30° 39′ 30.1″,5.88,Piscis Austrinus
HD 213135,22h 29m 45.94s,-27° 06′ 26.0″,5.95,Piscis Austrinus
6 Piscis Austrini,21h 32m 14.58s,-33° 56′ 40.6″,5.97,Piscis Austrinus
UU Piscis Austrini,22h 04m 36.76s,-26° 49′ 20.4″,5.97,Piscis Austrinus
21 Piscis Austrini,22h 51m 20.94s,-29° 32′ 10.6″,5.99,Piscis Austrinus
HD 216761,22h 55m 51.54s,-31° 37′ 59.5″,6.09,Piscis Austrinus
7 Piscis Austrini,21h 36m 48.75s,-33° 02′ 52.4″,6.1,Piscis Austrinus
19 Piscis Austrini,22h 42m 22.08s,-29° 21′ 39.6″,6.12,Piscis Austrinus
HD 211291,22h 16m 37.44s,-25° 53′ 53.3″,6.14,Piscis Austrinus
HD 217096,22h 58m 35.01s,-35° 31′ 22.6″,6.15,Piscis Austrinus
HD 210739,22h 12m 57.50s,-26° 19′ 39.8″,6.19,Piscis Austrinus
HD 205872,21h 39m 06.07s,-33° 40′ 43.5″,6.28,Piscis Austrinus
HD 215669,22h 47m 19.21s,-34° 09′ 42.4″,6.28,Piscis Austrinus
HD 214599,22h 39m 44.12s,-28° 19′ 32.0″,6.3,Piscis Austrinus
HD 217358,23h 00m 24.58s,-25° 37′ 36.3″,6.3,Piscis Austrinus
HD 215782,22h 47m 56.13s,-25° 54′ 42.3″,6.31,Piscis Austrinus
HD 216042,22h 49m 59.25s,-32° 48′ 19.4″,6.34,Piscis Austrinus
HD 210111,22h 08m 42.63s,-33° 07′ 32.7″,6.37,Piscis Austrinus
HD 208285,21h 55m 55.60s,-30° 36′ 21.1″,6.41,Piscis Austrinus
HD 205265,21h 34m 52.99s,-29° 41′ 45.9″,6.42,Piscis Austrinus
Zeta Piscis Austrini,22h 30m 53.75s,-26° 04′ 24.8″,6.43,Piscis Austrinus
HD 210300,22h 10m 00.13s,-28° 17′ 33.0″,6.44,Piscis Austrinus
13 Piscis Austrini,22h 04m 23.83s,-29° 54′ 59.5″,6.45,Piscis Austrinus
HD 214462,22h 38m 44.70s,-28° 44′ 53.5″,6.46,Piscis Austrinus
TW Piscis Austrini,22h 56m 23.83s,-31° 33′ 54.6″,6.48,Piscis Austrinus
5 Piscis Austrini,21h 29m 03.73s,-31° 14′ 18.7″,6.52,Piscis Austrinus
Lacaille 9352,23h 05m 52.04s,-35° 51′ 11.1″,7.34,Piscis Austrinus
HD 216770,22h 55m 53.70s,-26° 39′ 31.6″,8.1,Piscis Austrinus
HD 205739,21h 38m 08.41s,-31° 44′ 14.9″,8.56,Piscis Austrinus
HD 207832,21h 52m 36.0s,-26° 01′ 36″,8.79,Piscis Austrinus
RW Piscis Austrini,22h 09m 46.92s,-27° 04′ 01.7″,11.16,Piscis Austrinus
WASP-124,22h 10m 51.0s,-30° 44′ 58″,12.7,Piscis Austrinus
WASP-112,22h 37m 57.0s,-35° 09′ 14″,13.3,Piscis Austrinus
Zeta Puppis,08h 03m 35.07s,-40° 00′ 11.5″,2.21,Puppis
Pi Puppis,07h 17m 08.56s,-37° 05′ 51.0″,2.71,Puppis
Rho Puppis,08h 07m 32.70s,-24° 18′ 16.0″,2.83,Puppis
Tau Puppis,06h 49m 56.14s,-50° 36′ 51.8″,2.94,Puppis
Nu Puppis,06h 37m 45.67s,-43° 11′ 45.3″,3.17,Puppis
Sigma Puppis,07h 29m 13.88s,-43° 18′ 06.8″,3.25,Puppis
Xi Puppis,07h 49m 17.66s,-24° 51′ 35.2″,3.34,Puppis
C Puppis,07h 45m 15.30s,-37° 58′ 07.0″,3.62,Puppis
HD 64440,07h 52m 13.05s,-40° 34′ 32.9″,3.71,Puppis
3 Puppis,07h 43m 48.47s,-28° 57′ 17.4″,3.94,Puppis
HD 63922,07h 49m 14.30s,-46° 22′ 23.6″,4.1,Puppis
11 Puppis,07h 56m 51.56s,-22° 52′ 48.5″,4.2,Puppis
HD 64760,07h 53m 18.16s,-48° 06′ 10.6″,4.22,Puppis
Omicron Puppis,07h 48m 05.17s,-25° 56′ 13.8″,4.4,Puppis
16 Puppis,08h 09m 01.64s,-19° 14′ 42.0″,4.4,Puppis
L2 Puppis,07h 13m 32.23s,-44° 38′ 25.9″,4.42,Puppis
HD 69142,08h 14m 02.89s,-40° 20′ 51.8″,4.42,Puppis
NS Puppis,08h 11m 21.50s,-39° 37′ 06.8″,4.44,Puppis
HD 70060,08h 18m 33.39s,-36° 39′ 34.3″,4.44,Puppis
HD 60532,07h 34m 03.18s,-22° 17′ 45.8″,4.46,Puppis
V Puppis,07h 58m 14.44s,-49° 14′ 41.7″,4.47,Puppis
QW Puppis,07h 12m 33.74s,-46° 45′ 34.4″,4.49,Puppis
QZ Puppis,07h 52m 38.65s,-38° 51′ 46.2″,4.49,Puppis
K Puppis,07h 38m 49.88s,-26° 48′ 14.0″,4.5,Puppis
HD 61330,07h 37m 22.12s,-34° 58′ 06.9″,4.53,Puppis
HD 65810,07h 59m 52.06s,-18° 23′ 56.9″,4.61,Puppis
K Puppis,07h 38m 49.80s,-26° 48′ 13.0″,4.62,Puppis
1 Puppis,07h 43m 32.40s,-28° 24′ 39.4″,4.63,Puppis
HD 64740,07h 53m 03.64s,-49° 36′ 47.1″,4.63,Puppis
NV Puppis,07h 18m 18.40s,-36° 44′ 02.3″,4.65,Puppis
HD 59890,07h 30m 42.61s,-30° 57′ 44.2″,4.65,Puppis
HD 60863,07h 35m 22.94s,-28° 22′ 09.4″,4.65,Puppis
PU Puppis,07h 38m 18.05s,-25° 21′ 53.2″,4.69,Puppis
HD 63744,07h 48m 20.25s,-47° 04′ 39.1″,4.69,Puppis
19 Puppis,08h 11m 16.32s,-12° 55′ 37.3″,4.72,Puppis
HD 68601,08h 11m 25.90s,-42° 59′ 14.2″,4.73,Puppis
HD 56456,07h 14m 38.14s,-48° 16′ 18.9″,4.75,Puppis
HD 65456,07h 57m 40.11s,-30° 20′ 04.5″,4.76,Puppis
MX Puppis,08h 13m 29.52s,-35° 53′ 58.4″,4.78,Puppis
KQ Puppis,07h 33m 47.97s,-14° 31′ 26.0″,4.82,Puppis
HD 54893,07h 08m 51.08s,-39° 39′ 20.4″,4.83,Puppis
HD 70555,08h 21m 23.03s,-33° 03′ 15.7″,4.83,Puppis
HD 61831,07h 39m 27.35s,-38° 18′ 29.0″,4.84,Puppis
HD 59612,07h 29m 51.41s,-23° 01′ 27.5″,4.85,Puppis
OU Puppis,07h 13m 13.37s,-45° 10′ 57.1″,4.87,Puppis
HD 53811,07h 03m 53.66s,-49° 35′ 03.3″,4.92,Puppis
HD 51799,06h 56m 15.99s,-48° 43′ 16.2″,4.94,Puppis
HD 61772,07h 40m 23.21s,-15° 15′ 49.9″,4.98,Puppis
HD 50235,06h 50m 52.35s,-34° 22′ 02.4″,4.99,Puppis
20 Puppis,08h 13m 19.98s,-15° 47′ 17.6″,4.99,Puppis
4 Puppis,07h 45m 56.88s,-14° 33′ 49.8″,5.03,Puppis
Y Puppis,06h 38m 37.63s,-48° 13′ 12.8″,5.05,Puppis
HD 60584,07h 34m 18.67s,-23° 28′ 25.2″,5.06,Puppis
HD 52092,06h 58m 25.11s,-34° 06′ 42.2″,5.07,Puppis
HD 65551,07h 57m 18.43s,-44° 06′ 35.6″,5.08,Puppis
12 Puppis,07h 59m 05.72s,-23° 18′ 37.4″,5.09,Puppis
OS Puppis,08h 13m 58.32s,-36° 19′ 20.3″,5.09,Puppis
NW Puppis,07h 18m 38.19s,-36° 44′ 33.9″,5.11,Puppis
W Puppis,07h 43m 41.83s,-40° 56′ 00.0″,5.12,Puppis
X Puppis,06h 49m 54.62s,-46° 36′ 55.7″,5.14,Puppis
HD 65685,07h 57m 51.73s,-45° 34′ 39.9″,5.14,Puppis
9 Puppis,07h 51m 46.34s,-13° 53′ 49.9″,5.16,Puppis
6 Puppis,07h 49m 41.17s,-17° 13′ 41.2″,5.17,Puppis
HD 53704,07h 04m 02.81s,-42° 20′ 14.8″,5.2,Puppis
HD 57240,07h 18m 33.52s,-39° 12′ 37.1″,5.24,Puppis
MZ Puppis,08h 04m 16.19s,-32° 40′ 29.4″,5.25,Puppis
HD 49591,06h 47m 21.41s,-37° 55′ 46.8″,5.27,Puppis
HD 55719,07h 12m 15.82s,-40° 29′ 55.6″,5.3,Puppis
HD 59635,07h 29m 05.71s,-38° 48′ 43.6″,5.41,Puppis
OW Puppis,07h 33m 51.05s,-36° 20′ 18.2″,5.42,Puppis
5 Puppis,07h 47m 56.78s,-12° 11′ 34.4″,5.48,Puppis
V336 Puppis,08h 02m 44.79s,-41° 18′ 35.5″,5.52,Puppis
18 Puppis,08h 10m 39.98s,-13° 47′ 57.7″,5.53,Puppis
HD 53705,07h 03m 57.40s,-43° 36′ 32.3″,5.56,Puppis
V390 Puppis,07h 44m 34.17s,-24° 40′ 26.7″,5.62,Puppis
V378 Puppis,07h 36m 03.90s,-14° 29′ 34.0″,5.66,Puppis
MY Puppis,07h 38m 18.21s,-48° 36′ 05.2″,5.68,Puppis
PT Puppis,07h 36m 41.04s,-19° 42′ 08.5″,5.69,Puppis
HD 61391,07h 36m 43.93s,-48° 49′ 48.6″,5.69,Puppis
10 Puppis,07h 52m 18.88s,-14° 50′ 46.2″,5.69,Puppis
PR Puppis,07h 14m 46.03s,-46° 50′ 58.8″,5.72,Puppis
HD 61878,07h 39m 43.83s,-38° 08′ 21.6″,5.73,Puppis
HD 45572,06h 25m 43.66s,-48° 10′ 36.7″,5.76,Puppis
HD 61899,07h 39m 47.88s,-38° 15′ 38.4″,5.76,Puppis
HD 61641,07h 38m 43.90s,-36° 29′ 48.6″,5.78,Puppis
HD 54475,07h 07m 07.09s,-40° 53′ 35.9″,5.8,Puppis
QS Puppis,07h 49m 12.87s,-46° 51′ 27.9″,5.82,Puppis
HD 57197,07h 18m 04.26s,-43° 59′ 12.4″,5.86,Puppis
HD 60585,07h 34m 19.10s,-23° 28′ 29.0″,5.87,Puppis
V392 Puppis,07h 46m 10.56s,-37° 56′ 01.3″,5.87,Puppis
HD 41742/41700,06h 04m 40.17s,-45° 04′ 46.4″,5.93,Puppis
V363 Puppis,07h 12m 25.83s,-36° 32′ 39.8″,5.94,Puppis
V397 Puppis,07h 49m 14.65s,-35° 14′ 35.9″,5.94,Puppis
HD 69830,08h 18m 23.78s,-12° 37′ 47.2″,5.95,Puppis
V438 Puppis,08h 24m 57.22s,-42° 46′ 11.5″,5.97,Puppis
V468 Puppis,07h 39m 57.99s,-37° 34′ 45.9″,5.99,Puppis
QU Puppis,07h 51m 40.36s,-42° 53′ 17.6″,6.05,Puppis
2 Puppis,07h 45m 29.14s,-14° 41′ 25.7″,6.06,Puppis
14 Puppis,08h 04m 41.42s,-19° 43′ 41.4″,6.12,Puppis
PY Puppis,08h 00m 28.97s,-48° 52′ 18.4″,6.13,Puppis
22 Puppis,08h 22m 46.87s,-13° 03′ 16.8″,6.13,Puppis
V368 Puppis,07h 24m 47.36s,-37° 17′ 28.5″,6.14,Puppis
T Puppis,07h 48m 08.55s,-40° 39′ 08.3″,6.14,Puppis
V339 Puppis,06h 46m 12.16s,-37° 46′ 31.3″,6.19,Puppis
V376 Puppis,07h 33m 13.17s,-40° 03′ 30.7″,6.27,Puppis
PX Puppis,07h 56m 22.72s,-30° 17′ 04.3″,6.28,Puppis
QY Puppis,07h 47m 38.53s,-15° 59′ 26.5″,6.31,Puppis
NP Puppis,06h 54m 26.68s,-42° 21′ 56.2″,6.32,Puppis
21 Puppis,08h 17m 23.14s,-16° 17′ 06.3″,6.32,Puppis
OX Puppis,07h 47m 05.77s,-39° 19′ 51.7″,6.33,Puppis
HD 41742/41700,06h 04m 28.51s,-45° 02′ 13.9″,6.35,Puppis
PQ Puppis,08h 08m 37.65s,-37° 40′ 52.5″,6.36,Puppis
8 Puppis,07h 51m 40.88s,-12° 49′ 09.8″,6.37,Puppis
V420 Puppis,08h 08m 19.36s,-23° 37′ 04.0″,6.49,Puppis
2 Puppis,07h 45m 28.74s,-14° 41′ 10.0″,7.03,Puppis
HD 70642,08h 21m 28.14s,-39° 42′ 19.5″,7.18,Puppis
HD 50499,06h 52m 02s,-33° 54′ 56″,7.22,Puppis
HD 48265,06h 40m 01.73s,-48° 32′ 31.0″,8.07,Puppis
NGC 2423-3,07h 37m 09s,-13° 54′ 24″,9.45,Puppis
WASP-121,07h 10m 24.0s,-39° 05′ 51″,10.4,Puppis
WASP-122,07h 13m 12.0s,-42° 24′ 35″,11.0,Puppis
Alpha Pyxidis,08h 43m 35.55s,-33° 11′ 11.1″,3.68,Pyxis
Beta Pyxidis,08h 40m 06.14s,-35° 18′ 29.9″,3.97,Pyxis
Gamma Pyxidis,08h 50m 32.01s,-27° 42′ 36.2″,4.02,Pyxis
Kappa Pyxidis,09h 08m 02.86s,-25° 51′ 30.7″,4.62,Pyxis
Theta Pyxidis,09h 21m 29.60s,-25° 57′ 55.5″,4.71,Pyxis
